movie_name,production_year,production_budget,domestic_box_office,international_box_office,Success_Failure_All,Success_Failure_Domestic,rating,creative_type,source,production_method,genre,sequel,running_time
Magic Mike XXL,2015,14500000,66013057,57696403,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,115
Max,2015,20000000,42656255,1001902,1,1,PG,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0,111
Maze Runner: The Scorch Trials,2015,61000000,81697192,229000000,1,0,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,1,131
Me Before You,2015,20000000,56245075,149200000,1,1,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,110
Midnight Special,2015,18000000,3712282,3967968,0,0,PG-13,Science Fiction,Original Screenplay,Live Action,Drama,0,102
Misconduct,2015,11000000,0,2352511,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,106
Monster Trucks,2015,125000000,33370166,28311102,0,0,PG-13,Science Fiction,Original Screenplay,Animation/Live Action,Adventure,0,104
Mortdecai,2015,60000000,7696134,22700000,0,0,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0,107
My Big Fat Greek Wedding 2,2015,18000000,59689605,31962273,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,94
Norm of the North,2015,18000000,17062499,10329696,0,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,93
Pan,2015,150000000,35088320,116462536,0,0,PG,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,0,111
Paper Towns,2015,12000000,32000304,53511996,1,1,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,109
Paul Blart: Mall Cop 2,2015,38000000,71038190,36559052,1,0,PG,Contemporary Fiction,Original Screenplay,Live Action,Adventure,1,94
Point Break,2015,100000000,28782481,99349090,0,0,PG-13,Contemporary Fiction,Remake,Live Action,Action,0,113
Pride and Prejudice and Zombies,2015,28000000,10907291,5404044,0,0,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Black Comedy,0,107
Queen of the Desert,2015,36000000,0,1480089,0,0,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,127
Regression,2015,20000000,55039,14828456,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,106
Ricki and the Flash,2015,18000000,26822144,14326535,1,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,100
Risen,2015,20000000,36880033,9284328,1,0,PG-13,Historical Fiction,Based on Religious Text,Live Action,Drama,0,107
Room,2015,13000000,14677674,21585109,1,0,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,113
Run All Night,2015,50000000,26461644,40500000,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,114
San Andreas,2015,110000000,155190832,311960328,1,0,PG-13,Science Fiction,Original Screenplay,Live Action,Adventure,0,114
Scouts Guide to the Zombie Apocalypse,2015,15000000,3703046,11851809,0,0,R,Fantasy,Original Screenplay,Live Action,Comedy,0,93
Secret in Their Eyes,2015,20000000,20180155,10628403,0,0,PG-13,Contemporary Fiction,Remake,Live Action,Thriller/Suspense,0,111
Shut In,2015,10000000,6900335,4461627,0,0,R,Fantasy,Original Screenplay,Live Action,Thriller/Suspense,0,91
Sicario,2015,30000000,46889293,31682444,1,0,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,121
Sinister 2,2015,10000000,27740955,26363270,1,1,R,Fantasy,Original Screenplay,Live Action,Horror,1,97
Sisters,2015,30000000,87044645,18986015,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,117
Snowden,2015,50000000,21587519,12714431,0,0,R,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,134
Southpaw,2015,30000000,52421953,41785908,1,0,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,124
Spectre,2015,300000000,200074175,679546748,1,0,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,1,148
Spotlight,2015,20000000,45055776,47161953,1,1,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,128
Steve Jobs,2015,30000000,17766658,17812349,0,0,R,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,121
Straight Outta Compton,2015,28000000,161058685,40985196,1,1,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,146
Survivor,2015,20000000,0,774905,0,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,96
Taken 3,2015,48000000,89256424,238400000,1,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,1,118
Ted 2,2015,68000000,81284830,135737758,1,0,R,Fantasy,Original Screenplay,Live Action,Comedy,1,115
The 33,2015,25000000,12227722,16172993,0,0,PG-13,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,120
The Accountant,2015,40000000,86260045,66800000,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,128
The Age of Adaline,2015,30000000,42629776,26427639,1,0,PG-13,Fantasy,Original Screenplay,Live Action,Drama,0,112
The Big Short,2015,28000000,70259870,62902882,1,1,R,Historical Fiction,Based on Factual Book/Article,Live Action,Drama,0,130
The Boss,2015,29000000,63077560,15574835,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,99
The Boy,2015,10000000,35819556,32401396,1,1,PG-13,Fantasy,Original Screenplay,Live Action,Horror,0,97
The Dressmaker,2015,11900000,2022115,22019502,1,0,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,118
The Gunman,2015,40000000,10664749,2979543,0,0,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,115
The Hateful Eight,2015,62000000,54117416,91325944,1,0,R,Historical Fiction,Original Screenplay,Live Action,Western,0,167
The Hunger Games: Mockingjay - Part 2,2015,160000000,281723902,368799525,1,0,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,1,136
The Intern,2015,40000000,75764672,121468062,1,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,121
The Last Witch Hunter,2015,80000000,27367660,103866746,0,0,PG-13,Fantasy,Original Screenplay,Live Action,Action,0,98
The Little Prince,2015,77500000,1311213,102218295,0,0,PG,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0,108
The Longest Ride,2015,34000000,37446117,26356811,0,0,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,128
The Lovers,2015,35000000,0,11106,0,0,PG-13,Historical Fiction,Original Screenplay,Live Action,Adventure,0,109
The Martian,2015,108000000,228433663,435418242,1,1,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,130
The Nice Guys,2015,50000000,36261763,21000000,0,0,R,Historical Fiction,Original Screenplay,Live Action,Black Comedy,0,116
The Night Before,2015,25000000,43035725,9391621,1,0,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,101
The Peanuts Movie,2015,99000000,130178411,120295627,1,0,G,Kids Fiction,Based on Comic/Graphic Novel,Digital Animation,Adventure,0,89
The Perfect Guy,2015,18000000,57017904,3246901,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,100
The Revenant,2015,135000000,183637894,349312609,1,0,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Adventure,0,156
The Second Best Exotic Marigold Hotel,2015,10000000,33078266,57306040,1,1,PG,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,122
