movie_name,Inflation_Success_Failure_Domestic,boxofficemojo_Success_Failure_Domestic,production_year,production_budget,production_budget_adjusted,domestic_box_office,inflation_domestic_adjusted,boxofficemojo_domestic_adjusted,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,popularity,production_companies,production_countries,vote_average,vote_count,actor1_name,actor1_gender,actor2_name,actor2_gender,actor3_name,actor3_gender,actor4_name,actor4_gender,actor5_name,actor5_gender,actor_number,director_name,director_gender,director_number,producer_name,producer_number,screeplay_name,editor_name
Underworld: Awakening,0,0,2011,70000000,76107462,62321039,68428501,70494290,98058891,R,Fantasy,Original Screenplay,Live Action,Action,1,89,3.722052,Lakeshore Entertainment,United States of America,6.1,1775,Kate Beckinsale,1,Stephen Rea,2,Michael Ealy,2,Theo James,2,India Eisley,0,31,MÃ¥ns MÃ¥rlind,2,2,Tom Rosenberg,4,Len Wiseman,Jeff McEvoy
Elysium,0,0,2012,120000000,126141308,93050117,99191425,104856727,193141974,R,Science Fiction,Original Screenplay,Live Action,Action,0,109,0.103143,none,none,4.3,4,Alexandra Boyd,1,Lee Cherry,0,Cam Clarke,0,Lara Cody,0,Justin Cowden,2,10,Kwon Jae-woong,0,1,Kwon Jae-Sung,6,none,none
300: Rise of an Empire,0,0,2013,110000000,114796102,106580051,111376153,117592012,224200000,R,Historical Fiction,Based on Comic/Graphic Novel,Animation/Live Action,Action,1,102,3.961548,Legendary Pictures,United States of America,6,2261,Sullivan Stapleton,2,Eva Green,1,Lena Headey,1,Callan Mulvey,2,David Wenham,2,42,Noam Murro,0,1,Gianni Nunnari,6,Zack Snyder,David Brenner
By the Sea,0,0,2015,20000000,20007538,538460,545998,572952,3189286,R,Historical Fiction,Original Screenplay,Live Action,Drama,0,122,0.073229,The Essanay Film Manufacturing Company,United States of America,5.6,13,Charlie Chaplin,2,Billy Armstrong,2,Margie Reiger,0,Bud Jamison,2,Edna Purviance,1,7,Charlie Chaplin,2,1,none,0,none,none
Elle s'appelait Sarah,0,0,2010,14500000,15376854,7691700,8568554,8744556,17788331,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,106,0.451175,France 2 Cinéma,France,7.2,169,Kristin Scott Thomas,1,Niels Arestrup,2,FrÃ©dÃ©ric Pierrot,2,Michel Duchaussoy,2,Dominique Frot,0,13,Gilles Paquet-Brenner,2,1,StÃ©phane Marsil,1,Serge Joncour,HervÃ© Schneid
That's My Boy,0,0,2011,57500000,61119247,36931089,40550336,41774511,21154146,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,115,0.017739,Paramount Pictures,United States of America,6.5,6,Dean Martin,2,Jerry Lewis,2,Ruth Hussey,1,Eddie Mayehoff,2,Marion Marshall,1,6,Hal Walker,2,1,none,0,none,none
One for the Money,0,0,2011,42000000,44588624,26414527,29003151,29878727,9782694,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,106,1.428832,Lakeshore Entertainment,United States of America,5.3,370,Katherine Heigl,1,Jason O'Mara,2,Daniel Sunjata,2,John Leguizamo,2,Sherri Shepherd,1,17,Julie Anne Robinson,1,1,Wendy Finerman,4,Liz Brixius,Lisa Zeno Churgin
Star Trek Into Darkness,0,0,2012,190000000,205099392,228778661,243878053,257807109,238602923,PG-13,Science Fiction,Based on TV,Live Action,Adventure,1,132,4.999705,Paramount Pictures,United States of America,7.4,4241,Chris Pine,2,Zachary Quinto,2,Zoe Saldana,1,Karl Urban,2,Simon Pegg,2,98,J.J. Abrams,2,1,J.J. Abrams,5,Alex Kurtzman,Maryann Brandon
Justin Bieber: Never Say Never,1,1,2010,13000000,21323586,73013910,81337496,83008209,26020215,G,Factual,Based on Real Life Events,Live Action,Concert/Performance,0,105,0.855406,Insurge Pictures,United States of America,4.8,145,Justin Bieber,2,Miley Cyrus,1,Usher Raymond,0,Jaden Smith,2,Sean Kingston,2,5,Jon M. Chu,2,1,none,0,none,none
Alvin and the Chipmunks: Chipwrecked,0,0,2011,80000000,93044524,133107389,146151913,150564096,215981134,G,Kids Fiction,Based on TV,Animation/Live Action,Adventure,1,87,1.975644,Fox 2000 Pictures,United States of America,5.5,443,Jason Lee,2,David Cross,2,Jenny Slate,1,Andy Buckley,2,Justin Long,2,11,Mike Mitchell,2,1,none,0,none,none
The Circle,0,0,2016,18000000,18266472,20497844,20764316,21256146,20154020,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,110,0.000494,none,United States of America,5.5,1,Angela Bettis,1,Scott Cohen,2,Henry Czerny,2,David Proval,2,Jill Jacobson,1,6,Yuri Zeltser,2,1,none,0,none,none
A Better Life,0,0,2010,10000000,10200555,1759252,1959807,2000062,124999,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,98,1.781778,Summit Entertainment,United States of America,6.9,52,DemiÃ¡n Bichir,2,JosÃ© JuliÃ¡n,0,Chelsea Rendon,1,Dolores Heredia,1,JoaquÃ­n Cosio,2,12,Chris Weitz,0,1,Paul Junger Witt,5,Eric Eason,Peter Lambert
Bridesmaids,1,1,2011,32500000,49072459,169106725,185679184,191284656,120420305,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,120,2.476744,Universal Pictures,United States of America,6.5,1567,Kristen Wiig,1,Rose Byrne,1,Maya Rudolph,1,Wendi McLendon-Covey,1,Ellie Kemper,1,27,Paul Feig,2,1,Judd Apatow,3,Kristen Wiig,Michael L. Sale
Final Destination 5,0,0,2011,40000000,44173589,42587643,46761232,48172908,112423522,R,Fantasy,Original Screenplay,Live Action,Horror,1,95,3.12622,New Line Cinema,United States of America,5.9,794,Emma Bell,1,Nicholas D'Agosto,2,Miles Fisher,2,Ellen Wroe,1,Jacqueline MacInnes Wood,1,11,Steven Quale,2,1,Craig Perry,2,Eric Heisserer,Eric A. Sears
Water for Elephants,0,0,2010,38000000,44692908,58709717,65402625,66746028,58100000,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,120,1.333018,Ingenious Media,United States of America,6.7,780,Robert Pattinson,2,Reese Witherspoon,1,Christoph Waltz,2,Tatum Etheridge,0,Hal Holbrook,2,20,Francis Lawrence,2,1,Erwin Stoff,3,Richard LaGravenese,Alan Edward Bell
Spy Kids: All the Time in the World,0,0,2011,27000000,30776565,38536376,42312941,43590327,42144807,PG,Kids Fiction,Original Screenplay,Live Action,Adventure,1,89,1.263558,Dimension Films,United States of America,4.4,196,Jessica Alba,1,Mason Cook,2,Rowan Blanchard,1,Joel McHale,2,Jeremy Piven,2,11,Robert Rodriguez,0,1,Elizabeth Avellan,2,none,Dan Zimmerman
The Perfect Game,0,0,2009,12500000,12619839,1089445,1209284,1302976,2841922,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0,118,0.547205,HighRoad Entertainment,United States of America,6.3,28,Clifton Collins Jr,2,Cheech Marin,2,MoisÃ©s Arias,0,Emilie de Ravin,1,Jake T. Austin,2,18,William Dear,2,1,Mark W. Koch,6,none,none
Young Adult,0,0,2011,12000000,13598534,16311571,17910105,18450793,6438785,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,94,1.088695,Paramount Pictures,United States of America,5.6,342,Charlize Theron,1,Patton Oswalt,2,Patrick Wilson,2,Elizabeth Reaser,1,Collette Wolfe,1,18,Jason Reitman,2,1,Lianne Halfon,5,Diablo Cody,Dana E. Glauberman
The Hobbit: The Desolation of Smaug,0,0,2013,250000000,261626508,258366855,269993363,285061585,702000000,PG-13,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,1,201,7.317865,WingNut Films,New Zealand,7.5,4217,Martin Freeman,2,Ian McKellen,2,Richard Armitage,2,Ken Stott,2,Graham McTavish,2,32,Peter Jackson,2,1,Peter Jackson,4,Peter Jackson,Jabez Olssen
Wrath of the Titans,0,0,2012,150000000,155522225,83670083,89192308,94286513,221600000,PG-13,Fantasy,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Adventure,1,99,2.477789,Legendary Pictures,Spain,5.5,1335,Sam Worthington,2,Liam Neeson,2,Ralph Fiennes,2,Edgar RamÃ­rez,2,Toby Kebbell,2,18,Jonathan Liebesman,0,1,Basil Iwanyk,2,David Leslie Johnson,Martin Walsh
The Lone Ranger,0,0,2013,275000000,279018595,89302115,93320710,98528902,170700000,PG-13,Historical Fiction,Based on TV,Live Action,Western,0,149,3.251539,Walt Disney Pictures,United States of America,6,2168,Johnny Depp,2,Armie Hammer,2,William Fichtner,2,Helena Bonham Carter,1,James Badge Dale,2,60,Gore Verbinski,2,1,Gore Verbinski,2,Ted Elliott,Craig Wood
War Horse,0,0,2011,70000000,77828569,79883359,87711928,90359865,76932170,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,146,2.862044,DreamWorks SKG,United States of America,7,910,Tom Hiddleston,2,Benedict Cumberbatch,2,Toby Kebbell,2,Emily Watson,0,Jeremy Irvine,2,32,Steven Spielberg,2,1,Steven Spielberg,2,Lee Hall,Michael Kahn
Ice Age: Continental Drift,0,0,2012,95000000,105647242,161321843,171969085,181791072,718443294,PG,Fantasy,Original Screenplay,Digital Animation,Adventure,1,87,4.990431,Blue Sky Studios,United States of America,6.2,2478,John Leguizamo,2,Ray Romano,2,Chris Wedge,2,Denis Leary,2,Seann William Scott,2,37,Steve Martino,2,2,none,0,Michael Berg,James Palumbo
Housefull,0,0,2010,10100000,10234937,1183658,1318595,1345680,17542642,Not Rated,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,135,0.012576,none,India,5.2,26,Akshay Kumar,2,Ritesh Deshmukh,2,Deepika Padukone,1,Lara Dutta,1,Jiah Khan,1,12,Sajid Khan,2,1,none,0,Sajid Khan,none
Johnny English Reborn,0,0,2011,45000000,45813985,8305970,9119955,9395278,156233690,PG,Contemporary Fiction,Original Screenplay,Live Action,Adventure,1,101,3.006149,Universal Pictures,United Kingdom,6,952,Rowan Atkinson,2,Dominic West,2,Gillian Anderson,1,Rosamund Pike,1,Daniel Kaluuya,2,32,Oliver Parker,2,1,none,0,none,none
Joy,0,0,2015,60000000,60790317,56451232,57241549,60067325,44682827,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,124,0.003846,none,Netherlands,5.9,4,Samira Maas,0,Coosje Smid,0,Dragan Bakema,0,Sharon Schouten,0,Elisabeth Hesemans,0,13,Mijke de Jong,0,1,Arnold Heslenfeld,3,none,Dorith Vinken
Pride and Prejudice and Zombies,0,0,2015,28000000,28152702,10907291,11059993,11605979,5404044,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Black Comedy,0,107,1.949455,Lionsgate,United States of America,5.5,578,Lily James,1,Sam Riley,2,Jack Huston,2,Bella Heathcote,1,Douglas Booth,2,22,Burr Steers,0,1,Natalie Portman,4,Burr Steers,none
Sherlock Holmes: A Game of Shadows,0,0,2011,125000000,143311145,186848418,205159563,211353129,348815025,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Action,1,129,4.585911,Village Roadshow Pictures,United States of America,6.9,3611,Robert Downey Jr.,2,Jude Law,2,Jared Harris,2,Noomi Rapace,1,Kelly Reilly,1,25,Guy Ritchie,2,1,Joel Silver,4,Kieran Mulroney,James Herbert
Snow White and the Huntsman,0,0,2011,170000000,185203402,155136755,170340157,175482559,245884991,PG-13,Fantasy,Based on Folk Tale/Legend/Fairytale,Live Action,Adventure,0,127,6.002392,Universal Pictures,United States of America,5.7,2911,Kristen Stewart,1,Charlize Theron,1,Chris Hemsworth,2,Sam Claflin,2,Ian McShane,2,36,Rupert Sanders,2,1,Sam Mercer,2,John Lee Hancock,Conrad Buff IV
Lockout,0,0,2011,20000000,21404033,14326865,15730898,16205798,19616184,PG-13,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,110,0.001045,none,none,4,2,Giuliana Ayala,0,Veronica Balingit,0,SalomÃ³n Carmona,0,Max Da'Silva,0,Kris Desautels,0,15,Ricardo Islas,0,1,none,0,none,none
Tower Heist,0,0,2011,85000000,92648564,78046570,85695134,88282186,72376376,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,104,2.459155,Universal Pictures,United States of America,5.8,872,Ben Stiller,2,Eddie Murphy,2,Casey Affleck,2,Alan Alda,2,Matthew Broderick,2,55,Brett Ratner,2,1,Brian Grazer,3,Ted Griffin,Mark Helfrich
Midnight in Paris,0,0,2010,30000000,36477099,56816662,63293761,64593848,105999737,PG-13,Fantasy,Original Screenplay,Live Action,Romantic Comedy,0,94,2.943722,Gravier Productions,Spain,7.4,1808,Owen Wilson,2,Rachel McAdams,1,Kurt Fuller,2,Mimi Kennedy,1,Michael Sheen,2,43,Woody Allen,2,1,Letty Aronson,3,Woody Allen,Alisa Lepselter
Warrior,0,0,2010,25000000,26556911,13657115,15214026,15526530,10558270,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,139,2.473511,Solaris Film,United States of America,7.7,1180,Tom Hardy,2,Jennifer Morrison,1,Nick Nolte,2,Joel Edgerton,2,Frank Grillo,2,28,Gavin O'Connor,2,1,Gavin O'Connor,5,Gavin O'Connor,Matt Chesse
Attack the Block,0,0,2011,13000000,13100369,1024175,1124544,1158493,5435008,R,Fantasy,Original Screenplay,Live Action,Action,0,87,3.207931,UK Film Council,United Kingdom,6.3,698,Nick Frost,2,Jodie Whittaker,1,John Boyega,2,Luke Treadaway,2,Flaminia Cinque,0,32,Joe Cornish,2,1,James Wilson,2,none,Jonathan Amos
Kick-Ass 2,0,0,2013,28000000,29295819,28795985,30091804,31771216,34333924,R,Contemporary Fiction,Based on Comic/Graphic Novel,Live Action,Action,0,103,3.426592,Universal Pictures,United States of America,6.3,2078,Aaron Taylor-Johnson,2,ChloÃ« Grace Moretz,1,Christopher Mintz-Plasse,2,Clark Duke,2,Jim Carrey,2,22,Jeff Wadlow,2,1,Brad Pitt,6,Jeff Wadlow,Eddie Hamilton
Monte Carlo,0,0,2010,20000000,22643292,23186769,25830061,26360623,16500000,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Romantic Comedy,0,109,1.096487,Dune Entertainment,Hungary,6,546,Selena Gomez,1,Katie Cassidy,1,Cory Monteith,2,Leighton Meester,1,Andie MacDowell,1,7,Thomas Bezucha,2,1,Denise Di Novi,4,Thomas Bezucha,Jeffrey Ford
Larry Crowne,0,0,2010,30000000,34059340,35608245,39667585,40482377,25840890,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,98,1.529566,Universal Pictures,United States of America,5.7,340,Tom Hanks,2,Julia Roberts,1,Bryan Cranston,2,Cedric the Entertainer,2,Pam Grier,1,17,Tom Hanks,2,1,Tom Hanks,2,Tom Hanks,Alan Cody
This Means War,0,0,2011,65000000,70366558,54760791,60127349,61942534,102213766,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,120,2.373611,Overbrook Films,United States of America,5.9,1316,Reese Witherspoon,1,Chris Pine,2,Tom Hardy,2,Laura Vandervoort,1,Angela Bassett,1,42,McG,2,1,Simon Kinberg,4,Timothy Dowling,Nicolas De Toth
Abduction,0,0,2010,35000000,38201936,28087155,31289091,31931785,58561204,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,106,4.378352,Lions Gate Films,United States of America,5.5,888,Taylor Lautner,2,Lily Collins,1,Alfred Molina,2,Jason Isaacs,2,Maria Bello,1,34,John Singleton,2,1,Doug Davison,5,none,Bruce Cannon
Looper,0,1,2011,30000000,36515648,66486205,73001853,75205707,103980200,R,Science Fiction,Original Screenplay,Live Action,Action,0,119,5.210663,Endgame Entertainment,China,6.6,4498,Joseph Gordon-Levitt,2,Bruce Willis,2,Emily Blunt,1,Paul Dano,2,Noah Segan,2,34,Rian Johnson,2,1,James D. Stern,2,none,Bob Ducsay
Hansel & Gretel: Witch Hunters,0,0,2011,50000000,55458941,55703475,61162416,63008849,159246241,R,Contemporary Fiction,Based on Folk Tale/Legend/Fairytale,Live Action,Action,0,100,2.773493,Paramount Pictures,United States of America,5.7,3106,Jeremy Renner,2,Gemma Arterton,1,Famke Janssen,1,Pihla Viitala,1,Derek Mears,2,23,Tommy Wirkola,2,1,Tommy Wirkola,4,Tommy Wirkola,Jim Page
Diary of a Wimpy Kid: Rodrick Rules,1,1,2010,18000000,24007633,52698535,58706168,59912023,20996659,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,1,99,2.254089,Fox 2000 Pictures,United States of America,6.3,215,Zachary Gordon,2,Devon Bostick,2,Rachael Harris,1,Robert Capron,2,Steve Zahn,2,19,David Bowers,2,1,none,0,Gabe Sachs,none
Moneyball,0,0,2010,50000000,58619026,75605492,84224518,85954533,35695343,PG-13,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,133,3.320703,Columbia Pictures,United States of America,7,1297,Brad Pitt,2,Jonah Hill,2,Philip Seymour Hoffman,2,Robin Wright,1,Chris Pratt,2,67,Bennett Miller,2,1,Brad Pitt,3,Aaron Sorkin,Christopher Tellefsen
The Conspirator,0,0,2010,25000000,26315355,11538204,12853559,13117578,4369207,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,122,1.197161,Wildwood Enterprises,United States of America,6.2,130,Evan Rachel Wood,1,James McAvoy,2,Kevin Kline,2,Robin Wright,1,Alexis Bledel,1,18,Robert Redford,2,1,Bill Holderman,1,Gregory Bernstein,Craig McKay
Arbitrage,0,0,2011,12000000,12776118,7919574,8695692,8958207,27911139,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,100,2.491368,Lionsgate,United States of America,6.1,277,Richard Gere,2,Susan Sarandon,1,Tim Roth,2,Brit Marling,1,Monica Raymund,1,18,Nicholas Jarecki,2,1,Justin Nappi,4,none,Douglas Crise
Tomorrowland,0,0,2014,170000000,172803090,93436322,96239412,102585533,113847135,PG,Science Fiction,Original Screenplay,Live Action,Adventure,0,129,0.001953,none,Belgium,6.4,4,none,0,none,0,none,0,none,0,none,0,0,none,1,0,none,0,none,none
Silent Hill: Revelation 3D,0,0,2012,20000000,21156994,17530219,18687213,19754531,38445453,R,Fantasy,Based on Game,Live Action,Horror,1,94,0.961534,Davis-Films,France,5,399,Adelaide Clemens,1,Kit Harington,2,Sean Bean,2,Carrie-Anne Moss,1,Radha Mitchell,1,22,Michael J. Bassett,2,1,Samuel Hadida,2,none,Michele Conroy
Rise of the Planet of the Apes,0,0,2011,93000000,110322498,176760185,194082683,199941849,306100000,PG-13,Science Fiction,Remake,Animation/Live Action,Adventure,0,120,53.086047,Ingenious Film Partners,United States of America,7,3888,James Franco,2,Freida Pinto,1,John Lithgow,2,Brian Cox,2,Tom Felton,2,21,Rupert Wyatt,0,1,Rick Jaffa,4,Rick Jaffa,Mark Goldblatt
The Boss,1,1,2015,29000000,29883086,63077560,63960646,67118115,15574835,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,99,0.002787,Frank Seltzer Productions,United States of America,4,3,John Payne,2,William Bishop,0,Gloria McGehee,0,Doe Avedon,1,Roy Roberts,2,14,Byron Haskin,2,1,John Payne,2,none,Ralph Dawson
30 Minutes or Less,0,0,2011,28000000,31631285,37053924,40685209,41913455,3912792,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,83,1.861444,Columbia Pictures,United States of America,5.6,505,Jesse Eisenberg,2,Danny McBride,2,Aziz Ansari,2,Bianca Kajlich,1,Nick Swardson,2,15,Ruben Fleischer,2,1,none,0,Michael Diliberti,none
Monsters University,0,0,2012,200000000,217720230,268488329,286208559,302555315,475100000,G,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1,102,5.13879,Walt Disney Pictures,United States of America,7,3212,Billy Crystal,2,John Goodman,2,Steve Buscemi,2,Helen Mirren,1,Noah Johnston,0,24,Dan Scanlon,2,1,Kori Rae,1,Daniel Gerson,none
Dark Shadows,0,0,2011,150000000,157813261,79727149,87540410,90183169,158475519,PG-13,Fantasy,Based on TV,Live Action,Black Comedy,0,112,2.582528,Village Roadshow Pictures,Australia,5.7,2126,Johnny Depp,2,Michelle Pfeiffer,1,Helena Bonham Carter,1,Jackie Earle Haley,2,Jonny Lee Miller,2,25,Tim Burton,2,1,Johnny Depp,5,Seth Grahame-Smith,Chris Lebenzon
Spectre,0,0,2015,300000000,302801038,200074175,202875213,212890314,679546748,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,1,148,0.094733,20th Century Fox Television,United States of America,8,2,Robert Culp,2,Gig Young,2,John Hurt,2,Gordon Jackson,2,Ann Bell,1,14,Clive Donner,2,1,Gordon Scott,1,Gene Roddenberry,Peter Tanner
The Devil's Double,0,0,2011,19100000,19233428,1361512,1494940,1540071,1045154,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,109,1.175634,Corrino Media Corporation,Netherlands,6.5,202,Dominic Cooper,2,Ludivine Sagnier,1,Raad Rawi,0,Philip Quast,0,Mimoun OaÃ¯ssa,2,18,Lee Tamahori,2,1,Paul Breuls,5,Michael Thomas,none
Mirror Mirror,0,0,2012,85000000,89285721,64935167,69220888,73174428,108678315,PG,Fantasy,Based on Folk Tale/Legend/Fairytale,Live Action,Adventure,0,95,5.931434,Relativity Media,United States of America,5.5,1025,Julia Roberts,1,Lily Collins,1,Armie Hammer,2,Nathan Lane,2,Martin Klebba,2,33,Tarsem Singh,2,1,Brett Ratner,7,Marc Klein,Nick Moore
Colombiana,0,0,2011,40000000,43593254,36665854,40259108,41474491,35629408,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,107,4.20677,TF1 Films Production,France,6.5,775,Zoe Saldana,1,Cliff Curtis,2,Callum Blue,2,Michael Vartan,2,Lennie James,2,18,Olivier Megaton,2,1,Luc Besson,3,Luc Besson,Camille Delamarre
Dolphin Tale,0,0,2011,37000000,44084104,72286779,79370883,81767012,23781945,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0,112,1.142823,Alcon Entertainment,United States of America,6.7,150,Morgan Freeman,2,Ashley Judd,1,Harry Connick Jr.,2,Nathan Gamble,2,Kris Kristofferson,2,18,Charles Martin Smith,2,1,Broderick Johnson,3,none,Harvey Rosenstock
What's Your Number?,0,0,2010,20000000,21597264,14011084,15608348,15928951,16152701,R,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,106,1.84985,Regency Enterprises,United States of America,6.1,601,Chris Evans,2,Anna Faris,1,Martin Freeman,2,Chris Pratt,2,Ari Graynor,1,37,Mark Mylod,2,1,none,0,Gabrielle Allan,none
Joyful Noise,0,0,2011,27500000,30531347,30932113,33963460,34988784,225801,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Musical,0,118,1.334236,Alcon Entertainment,United States of America,6.6,31,Queen Latifah,1,Dolly Parton,1,Keke Palmer,1,Jeremy Jordan,2,Courtney B. Vance,2,11,Todd Graff,2,1,Andrew A. Kosove,5,none,Kathryn Himoff
Sing,1,1,2016,75000000,78514278,270329045,273843323,280329657,363958695,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,108,0.225395,Columbia Tristar,United States of America,5,2,Lorraine Bracco,0,Peter Dobson,2,Jessica Steen,1,Louise Lasser,1,George DiCenzo,0,14,Richard J. Baskin,0,1,none,0,none,none
The Paperboy,0,0,2012,12500000,12544695,677200,721895,763126,2844953,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,107,0.103562,Blue Rider Pictures,Canada,3.1,7,Alexandra Paul,1,Marc Marut,0,Brigid Tierney,1,Frances Bay,0,William Katt,2,9,Douglas Jackson,2,1,Franco Battista,2,none,Yves Langlois
The Muppets,0,0,2011,45000000,53685340,88625922,97311262,100248994,72346000,PG,Kids Fiction,Based on TV,Live Action,Adventure,1,98,1.185248,Walt Disney Pictures,United States of America,6.5,471,Amy Adams,1,Jason Segel,2,Emily Blunt,1,John Krasinski,2,Zach Galifianakis,2,47,James Bobin,0,1,none,0,none,none
47 Ronin,0,0,2013,175000000,176726311,38362475,40088786,42326126,113354340,PG-13,Fantasy,Original Screenplay,Live Action,Action,0,127,2.915685,Mid Atlantic Films,United States of America,5.9,1263,Keanu Reeves,2,Hiroyuki Sanada,0,Kou Shibasaki,1,Tadanobu Asano,2,Min Tanaka,2,24,Carl Rinsch,0,1,Eric McLeod,3,Chris Morgan,none
21 Jump Street,1,1,2011,42000000,55567871,138447667,152015538,156604738,64364762,R,Contemporary Fiction,Based on TV,Live Action,Comedy,0,109,3.933432,Columbia Pictures,United States of America,6.7,3836,Channing Tatum,2,Jonah Hill,2,Brie Larson,1,Dave Franco,2,Ellie Kemper,1,19,Phil Lord,0,2,Stephen J. Cannell,2,Michael Bacall,Joel Negron
Killing Them Softly,0,0,2012,15000000,15986406,14945541,15931947,16841897,24292902,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,97,1.563481,Plan B Entertainment,United States of America,5.8,705,Brad Pitt,2,Scoot McNairy,2,Ben Mendelsohn,2,James Gandolfini,2,Ray Liotta,2,20,Andrew Dominik,2,1,Brad Pitt,5,Andrew Dominik,Brian A. Kates
Grudge Match,0,0,2013,40000000,41341327,29807260,31148587,32886977,40000000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,113,2.25476,Gerber Pictures,United States of America,6,412,Robert De Niro,2,Sylvester Stallone,2,Alan Arkin,2,Jon Bernthal,2,Kevin Hart,2,17,Peter Segal,2,1,Mark Steven Johnson,5,Rodney Rothman,William Kerr
The Descendants,1,1,2010,20000000,29419246,82624961,92044207,93934842,92882839,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,110,1.639309,Fox Searchlight Pictures,United States of America,6.7,875,George Clooney,2,Shailene Woodley,1,Amara Miller,1,Nick Krause,2,Robert Forster,2,17,Alexander Payne,0,1,Jim Taylor,5,Alexander Payne,Kevin Tent
Going in Style,0,0,2016,24000000,24585241,45018541,45603782,46683967,33695670,PG-13,Contemporary Fiction,Remake,Live Action,Comedy,0,96,0.406088,Warner Bros.,United States of America,6.6,7,George Burns,2,Art Carney,2,Lee Strasberg,2,Charles Hallahan,2,Pamela Payton-Wright,1,8,Martin Brest,2,1,none,0,Martin Brest,none
The Girl with the Dragon Tattoo,0,0,2011,90000000,100046548,102515793,112562341,115960487,136858177,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,160,4.312815,Columbia Pictures,Norway,7.1,2297,Daniel Craig,2,Rooney Mara,1,Christopher Plummer,2,Goran Visnjic,2,Stellan SkarsgÃ¥rd,2,59,David Fincher,2,1,Scott Rudin,4,none,Angus Wall
Happy Feet Two,0,0,2011,135000000,141272634,64006466,70279100,72400757,93950000,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1,99,1.266049,Village Roadshow Pictures,Australia,5.8,341,Elijah Wood,2,Robin Williams,2,Pink,1,E.G. Daily,1,Johnny A. Sanchez,2,26,George Miller,2,1,George Miller,3,none,none
Quartet,0,0,2011,11000000,12802059,18388357,20190416,20799945,37790578,PG-13,Contemporary Fiction,Based on Play,Live Action,Comedy,0,99,0.000119,none,France,4.6,6,Isabelle Adjani,1,Alan Bates,2,Maggie Smith,1,Anthony Higgins,2,Suzanne Flon,0,11,James Ivory,2,1,none,0,none,none
Think Like a Man,1,1,2012,12000000,18042116,91547205,97589321,103163119,21826559,PG-13,Contemporary Fiction,Based on Factual Book/Article,Live Action,Romantic Comedy,0,122,0.837728,Rainforest Films,United States of America,6.8,263,Michael Ealy,2,Jerry Ferrara,2,Meagan Good,1,Regina Hall,1,Kevin Hart,2,19,Tim Story,2,1,William Packer,1,none,Peter S. Elliot
