movie_name,Inflation_Success_Failure_Domestic,boxofficemojo_Success_Failure_Domestic,production_year,production_budget,production_budget_adjusted,domestic_box_office,inflation_domestic_adjusted,boxofficemojo_domestic_adjusted,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,popularity,production_companies,production_countries,vote_average,vote_count,actor1_name,actor1_gender,actor2_name,actor2_gender,actor3_name,actor3_gender,actor4_name,actor4_gender,actor5_name,actor5_gender,actor_number,director_name,director_gender,director_number,producer_name,producer_number,screeplay_name,editor_name
Mad Money,0,0,2008,22000000,25058989,20668843,23727832,28305270,4375214,PG-13,Contemporary Fiction,Remake,Live Action,Comedy,0,104,0.622602,Millennium Films,United States of America,5.9,125,Diane Keaton,1,Queen Latifah,1,Katie Holmes,1,Ted Danson,2,Roger Cross,2,9,Callie Khouri,1,1,none,0,Glenn Gers,Wendy Greene Bricmont
Alice in Wonderland,0,0,2010,200000000,238097787,334191110,372288897,379935901,691300000,PG,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,0,108,5.363204,RKO Radio Pictures,United States of America,7,1317,Kathryn Beaumont,1,Verna Felton,1,Ed Wynn,2,Richard Haydn,2,Sterling Holloway,2,15,Hamilton Luske,2,3,Walt Disney,1,none,Lloyd L. Richardson
Body of Lies,0,0,2008,67500000,73330411,39394666,45225077,53949642,79161864,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,128,2.695164,Scott Free Productions,United States of America,6.5,836,Leonardo DiCaprio,2,Russell Crowe,2,Mark Strong,2,Ali Suliman,2,Simon McBurney,0,19,Ridley Scott,2,1,Ridley Scott,2,William Monahan,Pietro Scalia
Step Brothers,0,0,2008,65000000,79869381,100468793,115338174,137588561,28000000,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,95,2.171103,Columbia Pictures,United States of America,6.5,1001,Will Ferrell,2,John C. Reilly,2,Mary Steenburgen,1,Richard Jenkins,2,Adam Scott,2,14,Adam McKay,2,1,Judd Apatow,2,Will Ferrell,Brent White
The Hurt Locker,0,0,2009,15000000,16871959,17017811,18889770,20353302,32876412,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,130,3.696055,Summit Entertainment,United States of America,7.2,1754,Jeremy Renner,2,Anthony Mackie,2,Brian Geraghty,2,Guy Pearce,2,Ralph Fiennes,2,11,Kathryn Bigelow,1,1,Kathryn Bigelow,5,Mark Boal,Bob Murawski
The Love Guru,0,0,2008,62000000,66765618,32200122,36965740,44096961,7923224,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,87,2.038497,Paramount Pictures,United States of America,4.3,227,Mike Myers,2,Jessica Alba,1,Justin Timberlake,2,Romany Malco,2,Meagan Good,1,19,Marco Schnabel,2,1,Michael De Luca,2,Mike Myers,Billy Weber
Nick and Norah's Infinite Playlist,1,1,2008,10000000,14660119,31487293,36147412,43120766,2398724,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,86,1.695791,Columbia Pictures,United States of America,6.4,351,Michael Cera,2,Kat Dennings,1,Aaron Yoo,2,Alexis Dziena,1,Ari Graynor,1,23,Peter Sollett,2,1,Chris Weitz,6,Lorene Scafaria,Myron I. Kerstein
The Other Boleyn Girl,0,0,2008,40000000,43968614,26814957,30783571,36722162,51455013,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,115,2.202722,Columbia Pictures,United Kingdom,6.4,430,Natalie Portman,1,Scarlett Johansson,1,Eric Bana,2,Jim Sturgess,2,Kristin Scott Thomas,1,28,Justin Chadwick,2,1,Alison Owen,1,none,Carol Littleton
Four Christmases,0,0,2008,80000000,97781614,120146040,137927654,164535875,48165518,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,88,2.234109,New Line Cinema,United States of America,5.3,313,Vince Vaughn,2,Reese Witherspoon,1,Robert Duvall,2,Sissy Spacek,1,Jon Voight,2,25,Seth Gordon,2,1,Roger Birnbaum,5,Caleb Wilson,Stephen Mirrione
Edge of Darkness,0,0,2010,60000000,64937783,43313890,48251673,49242787,39498566,R,Contemporary Fiction,Based on TV,Live Action,Drama,0,120,1.690347,Icon Productions,United Kingdom,6.2,463,Mel Gibson,2,Ray Winstone,2,Danny Huston,2,Shawn Roberts,2,Denis O'Hare,2,20,Martin Campbell,2,1,Tim Headington,3,William Monahan,Stuart Baird
